farm_id,region,state,agro_zone,crop_type,crop_variety,soil_type,farm_size_ha,soil_pH,soil_nitrogen,soil_phosphorus,soil_potassium,rainfall_mm,temperature_C,fertilizer_type,fertilizer_amount_kg_ha,irrigation_type,pest_type,pest_severity,rainfall_variability,temperature_stress,extreme_weather,labor_input,soil_degradation,yield_kg_ha
FARM_000001,Southsouth,Rivers,Humid Forest,Pepper,Nsukka Yellow,Lateritic,0.9,6.5,17.5,26.1,182.9,1084.7,30.4,Urea,108.7,Surface,Whiteflies,Moderate,Normal,Moderate,Drought,Medium,Moderate,5724.0
FARM_000003,Northwest,Jigawa,Sudan Savanna,Sorghum,Local Kaura,Loamy,2.9,5.0,24.1,11.9,56.9,600.0,25.7,NPK,130.8,Surface,Aphids,Low,Erratic,Moderate,Drought,Low,Moderate,1178.0
FARM_000004,Northcentral,Benue,Northern Guinea Savanna,Maize,Local White,Clayey,0.5,5.1,23.4,7.6,97.3,969.5,31.9,NPK,89.7,Drip,Pod Borers,Low,Normal,Moderate,Drought,High,Moderate,2775.0
FARM_000006,Southwest,Osun,Humid Forest,Yam,D. rotundata,Lateritic,0.9,7.4,41.5,30.0,143.9,1160.7,30.6,NPK,121.4,Surface,Fall Armyworm,High,Reduced,Moderate,Flood,Low,Moderate,3552.0
FARM_000007,Southwest,Ekiti,Humid Forest,Onions,Violet de Galmi,Sandy,0.7,5.8,26.0,28.7,143.2,1625.2,27.7,NPK,118.2,Surface,Stem Borers,Low,Normal,High,Flood,Low,Severe,10291.0
FARM_000008,Northwest,Kano,Sudan Savanna,Rice,FARO 44,Sandy,1.2,5.6,45.6,18.2,143.4,1696.4,25.7,Organic,51.5,Surface,Thrips,High,Erratic,Moderate,Flood,Low,Severe,851.0
FARM_000009,Northcentral,Benue,Northern Guinea Savanna,Rice,Local Ofada,Lateritic,0.5,5.2,43.4,18.6,121.2,1876.5,29.8,NPK,49.8,Surface,Pod Borers,Moderate,Erratic,Moderate,Drought,Medium,Moderate,1506.0
FARM_000010,Northwest,Sokoto,Sudan Savanna,Onions,Local White,Loamy,0.7,6.3,50.0,27.2,173.7,1528.8,29.8,NPK,0.0,Surface,Stem Borers,Low,Normal,Moderate,Drought,Medium,Moderate,12000.0
FARM_000011,Southwest,Ekiti,Humid Forest,Rice,FARO 52,Lateritic,0.5,5.0,20.9,24.5,137.0,2000.0,31.1,NPK,39.9,Surface,Fall Armyworm,Moderate,Normal,Moderate,Flood,High,Moderate,2534.0
FARM_000012,Northeast,Gombe,Sudan Savanna,Onions,Kano Red,Clayey,0.5,5.8,30.7,6.8,154.2,1942.2,27.6,Organic,153.9,Surface,Stem Borers,Moderate,Erratic,Moderate,Drought,Medium,Moderate,9015.0
FARM_000013,Northwest,Sokoto,Sudan Savanna,Sorghum,Local Kaura,Sandy,2.1,6.5,33.8,5.0,193.8,1363.2,29.6,NPK,167.2,Surface,Aphids,Moderate,Erratic,Moderate,Drought,Low,Severe,1862.0
FARM_000014,Southeast,Abia,Humid Forest,Cassava,Local Oko-Iyawo,Loamy,0.5,7.5,45.4,26.9,118.2,1663.8,32.0,NPK,75.4,Surface,Cassava Mealybug,Moderate,Normal,Moderate,Drought,High,Moderate,13524.0
FARM_000015,Southwest,Oyo,Derived Savanna,Rice,FARO 52,Sandy,0.5,7.5,36.1,7.4,123.2,1772.5,26.8,Organic,155.8,Surface,Tomato Leaf Miner,High,Normal,Moderate,Drought,Medium,Moderate,2690.0
FARM_000016,Southwest,Osun,Humid Forest,Maize,TZL Comp,Loamy,2.0,7.0,17.7,13.0,108.6,1841.0,31.1,NPK,86.1,Surface,Stem Borers,Moderate,Normal,Moderate,Drought,Medium,Moderate,2233.0
FARM_000018,Northcentral,FCT,Northern Guinea Savanna,Pepper,Nsukka Yellow,Loamy,0.5,5.7,10.0,25.1,92.6,1948.2,30.6,Urea,39.0,Surface,Aphids,Low,Normal,Moderate,Drought,Medium,Moderate,6411.0
FARM_000019,Southsouth,Akwa Ibom,Humid Forest,Yam,TDr 95/19177,Sandy,3.5,6.5,48.3,9.5,115.9,1222.3,31.0,NPK,182.3,Surface,Grasshoppers,Moderate,Erratic,Moderate,Drought,Low,Severe,4651.0
FARM_000021,Northcentral,FCT,Northern Guinea Savanna,Sorghum,Local Farafara,Sandy,0.5,6.6,34.7,30.0,50.4,718.9,24.6,Urea,25.4,Surface,Fall Armyworm,Low,Reduced,Moderate,Drought,Medium,Moderate,2554.0
FARM_000023,Southeast,Abia,Humid Forest,Cassava,Local Odongbo,Lateritic,1.3,5.9,34.3,27.0,58.5,986.3,25.4,NPK,149.5,Surface,Fall Armyworm,Moderate,Normal,Moderate,Drought,High,Moderate,12179.0
FARM_000024,Southsouth,Akwa Ibom,Humid Forest,Cassava,Local Oko-Iyawo,Loamy,0.7,5.0,34.7,7.7,131.4,1001.8,24.4,Urea,154.7,Surface,Fall Armyworm,Moderate,Normal,Moderate,Drought,Medium,Moderate,15000.0
FARM_000025,Southsouth,Edo,Humid Forest,Cassava,TMS 30572,Lateritic,0.6,5.6,38.0,6.7,145.4,972.2,28.4,Organic,108.9,Surface,Fall Armyworm,High,Normal,Moderate,Flood,Medium,Moderate,6823.0
FARM_000027,Southwest,Ondo,Humid Forest,Cassava,Local Odongbo,Sandy,0.9,7.1,37.7,14.8,84.7,1850.1,24.1,NPK,35.4,Drip,Fall Armyworm,High,Erratic,Moderate,Drought,Medium,Moderate,5636.0
FARM_000028,Northcentral,Benue,Northern Guinea Savanna,Rice,FARO 44,Loamy,2.2,5.0,29.8,16.5,199.0,1687.1,27.2,NPK,142.4,Drip,Grasshoppers,Moderate,Normal,High,Drought,High,Moderate,6000.0
FARM_000030,Southwest,Ekiti,Humid Forest,Maize,TZL Comp,Lateritic,1.7,7.3,26.9,15.4,50.0,1416.9,29.0,Organic,143.2,Surface,Whiteflies,Moderate,Normal,Moderate,Drought,Low,Moderate,1979.0
FARM_000031,Northcentral,Plateau,Northern Guinea Savanna,Maize,TZL Comp,Sandy,2.4,7.1,31.8,12.2,73.5,1361.4,22.0,NPK,152.4,Surface,Stem Borers,Low,Normal,Moderate,Drought,Low,Moderate,2951.0
FARM_000032,Southwest,Ogun,Humid Forest,Cassava,Local Odongbo,Loamy,0.8,7.5,37.5,17.6,152.2,2000.0,26.8,NPK,116.4,Surface,Fall Armyworm,Moderate,Erratic,Moderate,Drought,Low,Moderate,9032.0
FARM_000033,Southwest,Oyo,Derived Savanna,Onions,Local White,Lateritic,1.6,5.0,23.6,28.1,170.9,1084.8,26.1,NPK,109.4,Surface,Aphids,Low,Normal,Moderate,Drought,Low,Moderate,6407.0
FARM_000034,Northeast,Borno,Sahel Savanna,Beans,IT89KD-288,Sandy,3.2,6.9,21.2,25.5,171.1,653.3,26.0,NPK,190.2,Surface,Aphids,Moderate,Erratic,Moderate,Drought,Medium,Severe,500.0
FARM_000035,Northeast,Taraba,Northern Guinea Savanna,Maize,TZL Comp,Loamy,0.5,7.4,13.0,7.2,107.8,729.0,27.6,NPK,25.1,Surface,Stem Borers,Low,Reduced,Moderate,Drought,High,Moderate,3158.0
FARM_000036,Northwest,Kano,Sudan Savanna,Sorghum,Local Farafara,Loamy,0.5,5.4,31.0,16.1,200.0,1601.8,30.7,Urea,200.0,Surface,Locusts,High,Normal,Moderate,Drought,Low,Moderate,1272.0
FARM_000037,Southeast,Imo,Humid Forest,Rice,FARO 52,Clayey,1.6,6.5,21.8,23.0,187.9,1008.9,26.8,Urea,129.2,Surface,Tomato Leaf Miner,Low,Erratic,Moderate,Drought,Medium,Moderate,5976.0
FARM_000039,Northcentral,Nasarawa,Northern Guinea Savanna,Beans,IT89KD-288,Loamy,0.5,6.2,18.1,17.3,136.9,600.0,24.2,NPK,78.2,Surface,Fall Armyworm,Moderate,Reduced,Moderate,Drought,Low,Moderate,1238.0
FARM_000040,Southsouth,Cross River,Humid Forest,Cassava,Local Oko-Iyawo,Clayey,5.0,6.9,38.1,5.0,200.0,892.5,25.7,NPK,153.5,Surface,Fall Armyworm,Moderate,Normal,Moderate,Drought,Low,Moderate,9446.0
